event,series,matchNumber,scoreRedFinal,scoreBlueFinal,redTeams,blueTeams,label
South Australia Qualifier,0,1,9,58,"[19377, 25398]","[32920, 18611]",0
South Australia Qualifier,0,2,17,112,"[19584, 32919]","[22407, 15215]",0
South Australia Qualifier,0,3,53,62,"[31041, 15210]","[24736, 30781]",0
South Australia Qualifier,0,4,73,62,"[19584, 22407]","[25398, 18611]",1
South Australia Qualifier,0,5,47,25,"[15210, 32920]","[32919, 31041]",1
South Australia Qualifier,0,6,68,98,"[30781, 19377]","[15215, 24736]",0
South Australia Qualifier,0,7,74,45,"[32919, 15210]","[19584, 25398]",1
South Australia Qualifier,0,8,29,100,"[31041, 22407]","[19377, 15215]",0
South Australia Qualifier,0,9,51,74,"[18611, 24736]","[30781, 32920]",0
South Australia Qualifier,0,10,23,53,"[22407, 19377]","[19584, 15210]",0
South Australia Qualifier,0,11,86,53,"[30781, 15215]","[25398, 32920]",1
South Australia Qualifier,0,12,123,35,"[24736, 31041]","[18611, 32919]",1
South Australia Qualifier,0,13,78,135,"[22407, 32920]","[30781, 19584]",0
South Australia Qualifier,0,14,206,50,"[15215, 18611]","[24736, 15210]",1
South Australia Qualifier,0,15,102,14,"[25398, 32919]","[31041, 19377]",1
South Australia Qualifier,0,16,121,59,"[32920, 15215]","[15210, 22407]",1
South Australia Qualifier,0,17,74,13,"[18611, 30781]","[32919, 19377]",1
South Australia Qualifier,0,18,65,93,"[19584, 24736]","[25398, 31041]",0
South Australia Qualifier,1,1,110,58,"[15215, 30781]","[19584, 18611]",1
South Australia Qualifier,2,1,67,54,"[32920, 15210]","[24736, 22407]",1
South Australia Qualifier,3,1,75,71,"[18611, 19584]","[24736, 22407]",1
South Australia Qualifier,4,1,122,71,"[30781, 15215]","[15210, 32920]",1
South Australia Qualifier,5,1,141,71,"[32920, 15210]","[19584, 18611]",1
South Australia Qualifier,6,1,123,54,"[15215, 30781]","[32920, 15210]",1
Brisbane North Qualifier,0,1,156,123,"[14380, 30781]","[18439, 23454]",1
Brisbane North Qualifier,0,2,68,72,"[30405, 14385]","[26000, 11506]",0
Brisbane North Qualifier,0,3,52,13,"[25614, 11505]","[11322, 11323]",1
Brisbane North Qualifier,0,4,71,36,"[18228, 19450]","[23173, 12993]",1
Brisbane North Qualifier,0,5,123,110,"[23454, 26000]","[11505, 14579]",1
Brisbane North Qualifier,0,6,60,97,"[11322, 23173]","[11506, 14380]",0
Brisbane North Qualifier,0,7,80,61,"[11323, 14579]","[18228, 14385]",1
Brisbane North Qualifier,0,8,68,81,"[12993, 25614]","[30781, 30405]",0
Brisbane North Qualifier,0,9,21,93,"[14385, 18439]","[19450, 26000]",0
Brisbane North Qualifier,0,1,64,53,"[30781, 25614]","[14579, 14385]",1
Brisbane North Qualifier,0,2,100,56,"[14380, 26000]","[23173, 11505]",1
Brisbane North Qualifier,0,3,92,88,"[30405, 23454]","[18228, 11322]",1
Brisbane North Qualifier,0,4,31,39,"[18439, 11323]","[12993, 19450]",0
Brisbane North Qualifier,0,5,41,111,"[11506, 30405]","[11505, 14380]",0
Brisbane North Qualifier,0,6,80,52,"[18439, 18228]","[14579, 25614]",1
Brisbane North Qualifier,0,7,54,25,"[14385, 12993]","[23173, 23454]",1
Brisbane North Qualifier,0,8,218,50,"[11323, 30781]","[11506, 11322]",1
Brisbane North Qualifier,0,9,114,64,"[26000, 23173]","[14579, 19450]",1
Brisbane North Qualifier,0,10,69,97,"[12993, 30405]","[11506, 30781]",0
Brisbane North Qualifier,0,11,30,120,"[14385, 11323]","[18228, 26000]",0
Brisbane North Qualifier,0,12,54,66,"[11505, 19450]","[25614, 23454]",0
Brisbane North Qualifier,0,13,171,26,"[11322, 14380]","[14385, 18439]",1
Brisbane North Qualifier,0,14,224,81,"[26000, 25614]","[11506, 23454]",1
Brisbane North Qualifier,0,15,32,112,"[23173, 18439]","[11323, 30405]",0
Brisbane North Qualifier,0,16,90,139,"[18228, 30781]","[19450, 14380]",0
Brisbane North Qualifier,0,17,29,68,"[14579, 11505]","[11322, 12993]",0
Brisbane North Qualifier,0,18,51,52,"[18439, 19450]","[11506, 14385]",0
Brisbane North Qualifier,0,19,37,132,"[23454, 14579]","[11323, 14380]",0
Brisbane North Qualifier,0,20,36,70,"[11322, 23173]","[25614, 18228]",0
Brisbane North Qualifier,0,21,99,166,"[30781, 12993]","[26000, 30405]",0
Brisbane North Qualifier,0,22,19,123,"[11505, 11506]","[18228, 23173]",0
Brisbane North Qualifier,0,23,157,123,"[11322, 30405]","[19450, 26000]",1
Brisbane North Qualifier,0,24,38,90,"[11505, 23454]","[30781, 18439]",0
Brisbane North Qualifier,0,25,166,18,"[14380, 25614]","[11323, 12993]",1
Brisbane North Qualifier,0,26,107,118,"[14579, 11506]","[30405, 14385]",0
Brisbane North Qualifier,1,1,174,108,"[14380, 18228]","[19450, 30781]",1
Brisbane North Qualifier,2,1,112,72,"[26000, 25614]","[30405, 11506]",1
Brisbane North Qualifier,3,1,89,93,"[19450, 30781]","[30405, 11506]",0
Brisbane North Qualifier,4,1,149,144,"[14380, 18228]","[25614, 26000]",1
Brisbane North Qualifier,5,1,103,94,"[26000, 25614]","[11506, 30405]",1
Brisbane North Qualifier,6,1,155,158,"[14380, 18228]","[26000, 25614]",0
Brisbane North Qualifier,7,1,154,107,"[14380, 18228]","[25614, 26000]",1
Brisbane South Qualifier,0,1,76,96,"[30070, 23332]","[18187, 31784]",0
Brisbane South Qualifier,0,2,60,43,"[14466, 11505]","[12993, 25827]",1
Brisbane South Qualifier,0,3,126,28,"[23334, 19450]","[23333, 14579]",1
Brisbane South Qualifier,0,4,41,228,"[27373, 17556]","[24089, 32323]",0
Brisbane South Qualifier,0,5,108,77,"[31534, 11506]","[13626, 26716]",1
Brisbane South Qualifier,0,6,114,62,"[32323, 30405]","[14340, 26085]",1
Brisbane South Qualifier,0,7,113,89,"[24089, 23333]","[11506, 12993]",1
Brisbane South Qualifier,0,8,53,76,"[14340, 25827]","[30070, 13626]",0
Brisbane South Qualifier,0,9,44,126,"[31784, 14466]","[19450, 30405]",0
Brisbane South Qualifier,0,10,122,54,"[26085, 23334]","[11505, 18187]",1
Brisbane South Qualifier,0,11,81,91,"[14579, 26716]","[23332, 27373]",0
Brisbane South Qualifier,0,12,83,130,"[26085, 31534]","[17556, 30070]",0
Brisbane South Qualifier,0,1,58,106,"[11505, 26085]","[18187, 17556]",0
Brisbane South Qualifier,0,2,92,67,"[13626, 25827]","[31784, 23334]",1
Brisbane South Qualifier,0,3,58,170,"[27373, 11506]","[23332, 24089]",0
Brisbane South Qualifier,0,4,77,271,"[30070, 12993]","[14340, 26716]",0
Brisbane South Qualifier,0,5,150,20,"[32323, 30405]","[23333, 14466]",1
Brisbane South Qualifier,0,6,67,65,"[19450, 14579]","[25827, 31534]",1
Brisbane South Qualifier,0,7,48,133,"[23332, 18187]","[30070, 30405]",0
Brisbane South Qualifier,0,8,55,55,"[11506, 11505]","[14340, 31534]",0
Brisbane South Qualifier,0,9,51,42,"[12993, 31784]","[17556, 32323]",1
Brisbane South Qualifier,0,10,63,76,"[23334, 27373]","[26085, 23333]",0
Brisbane South Qualifier,0,11,55,69,"[19450, 14466]","[13626, 26716]",0
Brisbane South Qualifier,0,12,77,134,"[14579, 23334]","[24089, 12993]",0
Brisbane South Qualifier,0,13,55,84,"[26085, 18187]","[13626, 31534]",0
Brisbane South Qualifier,0,14,48,89,"[17556, 25827]","[14466, 30070]",0
Brisbane South Qualifier,0,15,80,297,"[14340, 30405]","[24089, 31784]",0
Brisbane South Qualifier,0,16,134,34,"[26716, 32323]","[11506, 14579]",1
Brisbane South Qualifier,0,17,71,96,"[23333, 23332]","[11505, 19450]",0
Brisbane South Qualifier,0,18,105,53,"[31784, 26716]","[27373, 18187]",1
Brisbane South Qualifier,0,19,12,92,"[12993, 25827]","[11505, 30405]",0
Brisbane South Qualifier,0,20,109,75,"[14466, 14340]","[23334, 23332]",1
Brisbane South Qualifier,0,21,100,74,"[27373, 24089]","[31534, 32323]",1
Brisbane South Qualifier,0,22,92,110,"[30070, 11506]","[26085, 19450]",0
Brisbane South Qualifier,0,23,71,61,"[17556, 23333]","[13626, 14579]",1
Brisbane South Qualifier,0,24,213,13,"[18187, 31534]","[14466, 12993]",1
Brisbane South Qualifier,0,25,153,33,"[23333, 24089]","[25827, 26716]",1
Brisbane South Qualifier,0,26,142,93,"[11505, 13626]","[32323, 30070]",1
Brisbane South Qualifier,0,27,69,77,"[17556, 14340]","[19450, 27373]",0
Brisbane South Qualifier,0,28,132,82,"[26085, 31784]","[14579, 23332]",1
Brisbane South Qualifier,0,29,112,69,"[30405, 23334]","[11506, 17556]",1
Brisbane South Qualifier,0,30,72,32,"[14340, 32323]","[26085, 25827]",1
Brisbane South Qualifier,0,31,51,87,"[14579, 14466]","[27373, 11505]",0
Brisbane South Qualifier,0,32,107,45,"[31534, 30070]","[23333, 31784]",1
Brisbane South Qualifier,0,33,74,78,"[12993, 13626]","[23332, 11506]",0
Brisbane South Qualifier,0,34,95,128,"[19450, 18187]","[24089, 23334]",0
Brisbane South Qualifier,0,35,87,86,"[26716, 31534]","[26085, 30405]",1
Brisbane South Qualifier,1,1,105,82,"[11505, 30070]","[13626, 17556]",1
Brisbane South Qualifier,2,1,55,110,"[27373, 31784]","[23334, 26085]",0
Brisbane South Qualifier,3,1,192,137,"[24089, 19450]","[11505, 30070]",1
Brisbane South Qualifier,4,1,168,96,"[26716, 30405]","[26085, 23334]",1
Brisbane South Qualifier,5,1,133,53,"[11505, 30070]","[31784, 27373]",1
Brisbane South Qualifier,6,1,58,77,"[26085, 23334]","[13626, 17556]",0
Brisbane South Qualifier,7,1,211,108,"[24089, 19450]","[26716, 30405]",1
Brisbane South Qualifier,8,1,119,124,"[13626, 17556]","[30070, 11505]",0
Brisbane South Qualifier,9,1,192,96,"[26716, 30405]","[11505, 30070]",1
Brisbane South Qualifier,10,1,144,61,"[24089, 19450]","[26716, 30405]",1
Australia Championship,0,1,130,104,"[24089, 31784]","[31243, 18306]",1
Australia Championship,0,2,92,93,"[24736, 18359]","[30781, 18228]",0
Australia Championship,0,3,193,101,"[19450, 26000]","[18611, 11146]",1
Australia Championship,0,4,125,84,"[32920, 25614]","[26716, 33660]",1
Australia Championship,0,5,86,108,"[11505, 10517]","[11148, 23875]",0
Australia Championship,0,6,111,220,"[18360, 18363]","[14380, 15144]",0
Australia Championship,0,7,100,79,"[23369, 26129]","[23334, 23771]",1
Australia Championship,0,8,89,88,"[11144, 17556]","[11506, 24961]",1
Australia Championship,0,9,138,117,"[30405, 15215]","[23636, 19296]",1
Australia Championship,0,10,81,94,"[11143, 15210]","[11258, 27574]",0
Australia Championship,0,11,96,143,"[27262, 23875]","[30781, 30070]",0
Australia Championship,0,12,82,138,"[15144, 23771]","[31243, 25614]",0
Australia Championship,0,13,175,174,"[11148, 18363]","[18359, 11146]",1
Australia Championship,0,14,97,127,"[18306, 24961]","[19296, 24736]",0
Australia Championship,0,15,97,90,"[27574, 11144]","[31784, 23369]",1
Australia Championship,0,16,110,172,"[18360, 18611]","[26716, 23334]",0
Australia Championship,0,17,186,71,"[23636, 30070]","[18228, 10517]",1
Australia Championship,0,18,95,97,"[30405, 11506]","[24089, 15210]",0
Australia Championship,0,19,123,49,"[14380, 32920]","[19450, 11258]",1
Australia Championship,0,20,115,124,"[33660, 26129]","[17556, 15215]",0
Australia Championship,0,21,68,191,"[11143, 27262]","[11505, 26000]",0
Australia Championship,0,22,116,54,"[19296, 23334]","[23875, 25614]",1
Australia Championship,0,23,128,72,"[18359, 18611]","[30070, 24961]",1
Australia Championship,0,24,137,89,"[32920, 30405]","[27574, 24736]",1
Australia Championship,0,25,176,154,"[11506, 19450]","[33660, 11148]",1
Australia Championship,0,26,191,52,"[23636, 11146]","[24089, 27262]",1
Australia Championship,0,27,115,204,"[31784, 11258]","[26000, 18360]",0
Australia Championship,0,28,37,213,"[18228, 11505]","[26129, 15144]",0
Australia Championship,0,29,116,101,"[14380, 18306]","[26716, 11144]",1
Australia Championship,0,30,51,117,"[30781, 15210]","[23369, 15215]",0
Australia Championship,0,31,125,109,"[31243, 17556]","[11143, 10517]",1
Australia Championship,0,32,56,68,"[18363, 23636]","[31784, 23771]",0
Australia Championship,0,33,157,145,"[19450, 18360]","[18228, 30405]",1
Australia Championship,0,34,223,125,"[27574, 14380]","[11146, 30070]",1
Australia Championship,0,35,153,142,"[11258, 11148]","[18611, 19296]",1
Australia Championship,0,36,119,42,"[26716, 15215]","[11505, 24961]",1
Australia Championship,0,37,87,162,"[23771, 15210]","[23875, 26000]",0
Australia Championship,0,38,59,86,"[30781, 23334]","[32920, 17556]",0
Australia Championship,0,39,70,124,"[11506, 31243]","[24736, 26129]",0
Australia Championship,0,40,148,135,"[24089, 23369]","[15144, 10517]",1
Australia Championship,0,41,60,129,"[27262, 25614]","[18306, 18363]",0
Australia Championship,0,42,208,107,"[18359, 11143]","[33660, 11144]",1
Australia Championship,0,43,119,93,"[30070, 26716]","[19450, 15210]",1
Australia Championship,0,44,67,143,"[18228, 23771]","[11148, 32920]",0
Australia Championship,0,45,97,79,"[18611, 11505]","[23369, 30405]",1
Australia Championship,0,46,160,69,"[11258, 11146]","[17556, 15144]",1
Australia Championship,0,47,126,118,"[31784, 19296]","[10517, 14380]",1
Australia Championship,0,48,153,112,"[26129, 23636]","[27574, 18359]",1
Australia Championship,0,49,54,136,"[31243, 33660]","[18363, 23875]",0
Australia Championship,0,50,89,139,"[23334, 11506]","[18306, 11143]",0
Australia Championship,0,51,109,205,"[24736, 11144]","[18360, 25614]",0
Australia Championship,0,52,128,192,"[24961, 24089]","[26000, 30781]",0
Australia Championship,0,53,237,77,"[15144, 15215]","[27262, 18611]",1
Australia Championship,0,54,63,197,"[33660, 11505]","[30070, 31784]",0
Australia Championship,0,55,131,157,"[11146, 23369]","[11143, 19296]",0
Australia Championship,0,56,235,59,"[10517, 18360]","[23771, 11506]",1
Australia Championship,0,57,67,62,"[25614, 30781]","[11258, 26129]",1
Australia Championship,0,58,70,74,"[18359, 26716]","[27262, 30405]",0
Australia Championship,0,59,109,102,"[18306, 27574]","[15215, 19450]",1
Australia Championship,0,60,103,183,"[11148, 31243]","[14380, 23636]",0
Australia Championship,0,61,126,151,"[32920, 23875]","[24089, 11144]",0
Australia Championship,0,62,193,90,"[26000, 24736]","[17556, 18363]",1
Australia Championship,0,63,102,163,"[18228, 24961]","[15210, 23334]",0
Australia Championship,1,1,174,112,"[26000, 11148]","[19450, 11143]",1
Australia Championship,2,1,167,92,"[18360, 24089]","[32920, 17556]",1
Australia Championship,3,1,192,176,"[23636, 14380]","[31784, 19296]",1
Australia Championship,4,1,199,221,"[11146, 15215]","[30405, 30070]",0
Australia Championship,5,1,144,52,"[11143, 19450]","[32920, 17556]",1
Australia Championship,6,1,170,203,"[31784, 19296]","[11146, 15215]",0
Australia Championship,7,1,241,237,"[26000, 11148]","[24089, 18360]",1
Australia Championship,8,1,146,132,"[14380, 23636]","[30070, 30405]",1
Australia Championship,9,1,193,96,"[18360, 24089]","[15215, 11146]",1
Australia Championship,10,1,151,139,"[30070, 30405]","[19450, 11143]",1
Australia Championship,11,1,235,42,"[26000, 11148]","[14380, 23636]",1
Australia Championship,12,1,197,245,"[30070, 30405]","[18360, 24089]",0
Australia Championship,13,1,179,145,"[14380, 23636]","[18360, 24089]",1
Australia Championship,14,1,223,192,"[26000, 11148]","[14380, 23636]",1
Perth Scrimmage,0,2,0,8,"[31555, 23771]","[31553, 31135]",0
Sydney South Qualifier,0,1,79,78,"[33660, 11148]","[24961, 18306]",1
Sydney South Qualifier,0,2,89,90,"[23300, 29081]","[32134, 23636]",0
Sydney South Qualifier,0,3,26,96,"[32401, 21657]","[18360, 27262]",0
Sydney South Qualifier,0,4,21,50,"[25573, 19341]","[27375, 21472]",0
Sydney South Qualifier,0,1,131,38,"[33660, 23636]","[32134, 27375]",1
Sydney South Qualifier,0,2,63,138,"[29081, 32401]","[24961, 18306]",0
Sydney South Qualifier,0,3,115,47,"[18360, 21657]","[11148, 19341]",1
Sydney South Qualifier,0,4,58,21,"[23300, 25573]","[21472, 27262]",1
Sydney South Qualifier,0,5,156,64,"[11148, 23636]","[33660, 18306]",1
Sydney South Qualifier,0,6,109,13,"[32401, 19341]","[21472, 27375]",1
Sydney South Qualifier,0,7,23,148,"[21657, 29081]","[18360, 27262]",0
Sydney South Qualifier,0,8,221,20,"[24961, 23300]","[32134, 25573]",1
Sydney South Qualifier,0,9,63,88,"[19341, 18306]","[27262, 33660]",0
Sydney South Qualifier,0,10,38,50,"[32134, 21657]","[25573, 32401]",0
Sydney South Qualifier,0,11,55,150,"[27375, 23300]","[29081, 18360]",0
Sydney South Qualifier,0,12,59,122,"[11148, 21472]","[24961, 23636]",0
Sydney South Qualifier,0,13,108,16,"[23300, 33660]","[21657, 32401]",1
Sydney South Qualifier,0,14,39,198,"[24961, 27262]","[23636, 27375]",0
Sydney South Qualifier,0,15,41,103,"[18306, 21472]","[18360, 32134]",0
Sydney South Qualifier,0,16,51,31,"[19341, 25573]","[29081, 11148]",1
Sydney South Qualifier,0,17,65,39,"[27375, 18306]","[23300, 21657]",1
Sydney South Qualifier,0,18,83,43,"[11148, 27262]","[21472, 32401]",1
Sydney South Qualifier,0,19,130,24,"[32134, 23636]","[19341, 29081]",1
Sydney South Qualifier,0,20,137,76,"[33660, 18360]","[25573, 24961]",1
Sydney South Qualifier,0,21,94,61,"[27375, 27262]","[32134, 11148]",1
Sydney South Qualifier,0,22,104,87,"[25573, 18360]","[32401, 23636]",1
Sydney South Qualifier,0,23,46,102,"[19341, 24961]","[18306, 23300]",0
Sydney South Qualifier,0,24,39,127,"[21472, 29081]","[33660, 21657]",0
Sydney South Qualifier,1,1,176,70,"[23636, 18360]","[23300, 25573]",1
Sydney South Qualifier,2,1,64,61,"[11148, 33660]","[18306, 27262]",1
Sydney South Qualifier,3,1,45,62,"[25573, 23300]","[27262, 18306]",0
Sydney South Qualifier,4,1,161,109,"[18360, 23636]","[33660, 11148]",1
Sydney South Qualifier,5,1,208,59,"[33660, 11148]","[27262, 18306]",1
Sydney South Qualifier,6,1,160,101,"[23636, 18360]","[33660, 11148]",1
Sydney North Qualifier,0,1,93,93,"[23875, 19341]","[11143, 19296]",0
Sydney North Qualifier,0,2,61,111,"[18363, 31243]","[23636, 26129]",0
Sydney North Qualifier,0,3,46,46,"[32741, 15144]","[23369, 11147]",0
Sydney North Qualifier,0,4,58,82,"[14339, 11144]","[19218, 18359]",0
Sydney North Qualifier,0,5,81,139,"[24963, 11145]","[24961, 18362]",0
Sydney North Qualifier,0,6,19,264,"[28299, 10517]","[21520, 27574]",0
Sydney North Qualifier,0,7,41,23,"[27262, 12554]","[18306, 26202]",1
Sydney North Qualifier,0,1,120,56,"[11143, 19296]","[32741, 27262]",1
Sydney North Qualifier,0,2,70,83,"[14339, 18306]","[18363, 28299]",0
Sydney North Qualifier,0,3,32,48,"[11147, 15144]","[26202, 23369]",0
Sydney North Qualifier,0,4,95,146,"[18362, 21520]","[23636, 11145]",0
Sydney North Qualifier,0,5,80,24,"[11144, 23875]","[24963, 10517]",1
Sydney North Qualifier,0,6,92,93,"[24961, 27574]","[31243, 18359]",0
Sydney North Qualifier,0,7,109,46,"[26129, 12554]","[19341, 19218]",1
Sydney North Qualifier,0,8,97,68,"[24963, 11143]","[18362, 11147]",1
Sydney North Qualifier,0,9,87,117,"[31243, 32741]","[18363, 26202]",0
Sydney North Qualifier,0,10,29,100,"[10517, 11145]","[27262, 26129]",0
Sydney North Qualifier,0,11,68,122,"[19296, 18359]","[11144, 28299]",0
Sydney North Qualifier,0,12,78,103,"[18306, 19341]","[23636, 24961]",0
Sydney North Qualifier,0,13,40,19,"[15144, 12554]","[27574, 14339]",1
Sydney North Qualifier,0,14,82,104,"[23369, 21520]","[23875, 19218]",0
Sydney North Qualifier,0,15,83,91,"[18306, 31243]","[19296, 26129]",0
Sydney North Qualifier,0,16,13,33,"[28299, 26202]","[18362, 24961]",0
Sydney North Qualifier,0,17,39,52,"[32741, 19341]","[23369, 27574]",0
Sydney North Qualifier,0,18,135,74,"[11143, 11145]","[11144, 14339]",1
Sydney North Qualifier,0,19,39,159,"[15144, 10517]","[21520, 18363]",0
Sydney North Qualifier,0,20,108,157,"[23636, 12554]","[23875, 11147]",0
Sydney North Qualifier,0,21,90,50,"[24963, 18359]","[27262, 19218]",1
Sydney North Qualifier,0,22,55,109,"[27574, 18362]","[19296, 10517]",0
Sydney North Qualifier,0,23,119,84,"[21520, 11144]","[18306, 11147]",1
Sydney North Qualifier,0,24,79,35,"[23875, 27262]","[19341, 26202]",1
Sydney North Qualifier,0,25,35,36,"[28299, 11145]","[32741, 12554]",0
Sydney North Qualifier,0,26,82,65,"[24961, 18363]","[23369, 24963]",1
Sydney North Qualifier,0,27,153,85,"[18359, 26129]","[11143, 15144]",1
Sydney North Qualifier,0,28,13,138,"[14339, 19218]","[23636, 31243]",0
Sydney North Qualifier,0,29,127,51,"[24961, 27262]","[11144, 12554]",1
Sydney North Qualifier,0,30,67,108,"[26202, 27574]","[18306, 11145]",0
Sydney North Qualifier,0,31,99,38,"[18359, 19341]","[14339, 18362]",1
Sydney North Qualifier,0,32,114,72,"[32741, 26129]","[24963, 21520]",1
Sydney North Qualifier,0,33,73,172,"[19218, 11147]","[18363, 19296]",0
Sydney North Qualifier,0,34,86,79,"[23875, 31243]","[28299, 15144]",1
Sydney North Qualifier,0,35,93,68,"[23636, 10517]","[23369, 11143]",1
Sydney North Qualifier,0,36,83,102,"[19296, 26202]","[12554, 24963]",0
Sydney North Qualifier,0,37,80,59,"[11144, 19218]","[15144, 32741]",1
Sydney North Qualifier,0,38,61,127,"[11143, 21520]","[19341, 31243]",0
Sydney North Qualifier,0,39,79,78,"[11147, 14339]","[24961, 10517]",1
Sydney North Qualifier,0,40,83,65,"[27574, 23636]","[26129, 28299]",1
Sydney North Qualifier,0,41,72,64,"[18363, 23875]","[11145, 18359]",1
Sydney North Qualifier,0,42,91,86,"[27262, 23369]","[18362, 18306]",1
Sydney North Qualifier,1,1,70,109,"[31243, 19296]","[11144, 18306]",0
Sydney North Qualifier,2,1,114,55,"[26129, 18359]","[24961, 27574]",1
Sydney North Qualifier,3,1,142,116,"[18363, 23636]","[18306, 11144]",1
Sydney North Qualifier,4,1,107,123,"[23875, 11143]","[26129, 18359]",0
Sydney North Qualifier,5,1,102,71,"[11144, 18306]","[24961, 27574]",1
Sydney North Qualifier,6,1,165,143,"[23875, 11143]","[31243, 19296]",1
Sydney North Qualifier,7,1,122,89,"[18363, 23636]","[26129, 18359]",1
Sydney North Qualifier,8,1,124,118,"[23875, 11143]","[11144, 18306]",1
Sydney North Qualifier,9,1,188,102,"[26129, 18359]","[23875, 11143]",1
Sydney North Qualifier,10,1,123,126,"[18363, 23636]","[26129, 18359]",0
Sydney North Qualifier,11,1,189,114,"[18363, 23636]","[18359, 26129]",1
Wollongong Qualifier,0,1,5,18,"[18362, 24766]","[24669, 24404]",0
Wollongong Qualifier,0,2,69,105,"[18359, 23875]","[12554, 11146]",0
Wollongong Qualifier,0,3,86,13,"[18363, 26129]","[23300, 23369]",1
Wollongong Qualifier,0,4,180,80,"[12554, 18360]","[23875, 11258]",1
Wollongong Qualifier,0,1,73,26,"[23369, 23300]","[18362, 12554]",1
Wollongong Qualifier,0,2,115,13,"[18360, 11146]","[24404, 24766]",1
Wollongong Qualifier,0,3,187,90,"[26129, 18359]","[18363, 23875]",1
Wollongong Qualifier,0,4,45,75,"[24404, 24669]","[11258, 23369]",0
Wollongong Qualifier,0,5,61,44,"[23875, 12554]","[18362, 18360]",1
Wollongong Qualifier,0,6,203,57,"[18363, 11146]","[23300, 24669]",1
Wollongong Qualifier,0,7,80,24,"[18359, 11258]","[24766, 26129]",1
Wollongong Qualifier,0,8,89,175,"[23369, 24404]","[23300, 18363]",0
Wollongong Qualifier,0,9,24,55,"[26129, 18362]","[11146, 24766]",0
Wollongong Qualifier,0,10,83,61,"[12554, 18360]","[24669, 18359]",1
Wollongong Qualifier,0,11,86,50,"[11258, 24766]","[23875, 23300]",1
Wollongong Qualifier,0,12,31,72,"[12554, 24669]","[26129, 24404]",0
Wollongong Qualifier,0,13,112,91,"[11146, 23369]","[18359, 23875]",1
Wollongong Qualifier,0,14,146,43,"[18360, 18363]","[11258, 18362]",1
Wollongong Qualifier,0,15,52,49,"[24766, 23875]","[24669, 23369]",1
Wollongong Qualifier,0,16,39,57,"[18362, 23300]","[24404, 18359]",0
Wollongong Qualifier,0,17,56,56,"[18363, 11258]","[11146, 12554]",0
Wollongong Qualifier,0,18,61,93,"[23300, 26129]","[23369, 18360]",0
Wollongong Qualifier,1,1,148,56,"[18360, 11146]","[26129, 24766]",1
Wollongong Qualifier,2,1,78,108,"[23369, 18359]","[18363, 11258]",0
Wollongong Qualifier,3,1,33,71,"[26129, 24766]","[18359, 23369]",0
Wollongong Qualifier,4,1,136,83,"[18360, 11146]","[18363, 11258]",1
Wollongong Qualifier,5,1,70,66,"[18363, 11258]","[18359, 23369]",1
Wollongong Qualifier,6,1,133,102,"[18360, 11146]","[18363, 11258]",1
Festival Sesi De Robotica - Regional Minas Gerais,0,1,110,102,"[22708, 30540]","[17792, 16055]",1
Festival Sesi De Robotica - Regional Minas Gerais,0,2,125,96,"[17729, 17792]","[21083, 22708]",1
Festival Sesi De Robotica - Regional Minas Gerais,0,3,74,52,"[30540, 16055]","[17729, 21083]",1
Festival Sesi De Robotica - Regional Minas Gerais,0,4,128,56,"[17792, 21083]","[16055, 17729]",1
Festival Sesi De Robotica - Regional Minas Gerais,0,5,97,45,"[22708, 17729]","[30540, 21083]",1
Festival Sesi De Robotica - Regional Minas Gerais,0,1,86,119,"[17729, 22708]","[30540, 16055]",0
Festival Sesi De Robotica - Regional Minas Gerais,0,2,156,33,"[16055, 17792]","[30540, 21083]",1
Festival Sesi De Robotica - Regional Minas Gerais,0,3,121,105,"[17729, 17792]","[22708, 21083]",1
Festival Sesi De Robotica - Regional Minas Gerais,0,4,108,59,"[30540, 16055]","[21083, 17729]",1
Festival Sesi De Robotica - Regional Minas Gerais,0,5,109,119,"[30540, 22708]","[17792, 17729]",0
Festival Sesi De Robotica - Regional Minas Gerais,0,6,77,153,"[16055, 21083]","[22708, 17792]",0
Festival Sesi De Robotica - Regional Minas Gerais,0,7,105,131,"[17792, 30540]","[22708, 16055]",0
Festival Sesi De Robotica - Regional Minas Gerais,0,8,129,73,"[21083, 22708]","[16055, 17729]",1
Festival Sesi De Robotica - Regional Minas Gerais,0,9,138,49,"[17792, 21083]","[17729, 30540]",1
Festival Sesi De Robotica - Regional Minas Gerais,1,1,172,89,"[22708, 17792]","[17729, 16055]",1
Festival Sesi De Robotica - Regional Minas Gerais,1,2,79,108,"[17792, 22708]","[17729, 16055]",0
Festival Sesi De Robotica - Regional Minas Gerais,1,3,191,108,"[22708, 17792]","[17729, 16055]",1
Seletiva Catarinense FIRST Tech Challenge,0,1,15,30,"[23069, 19193]","[19194, 16063]",0
Seletiva Catarinense FIRST Tech Challenge,0,2,20,24,"[24531, 26969]","[26484, 32795]",0
Seletiva Catarinense FIRST Tech Challenge,0,3,116,67,"[24557, 28782]","[24823, 24645]",1
Seletiva Catarinense FIRST Tech Challenge,0,4,62,67,"[19193, 19194]","[32795, 24531]",0
Seletiva Catarinense FIRST Tech Challenge,0,5,69,138,"[26484, 16063]","[24645, 24557]",0
Seletiva Catarinense FIRST Tech Challenge,0,6,21,51,"[28782, 24823]","[26969, 23069]",0
Seletiva Catarinense FIRST Tech Challenge,0,1,122,53,"[19194, 32795]","[26969, 24645]",1
